YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19671028,301,1967,10,28,32,27
19671029,302,1967,10,29,-181,-347
19671030,303,1967,10,30,-1,-113
19671031,304,1967,10,31,15,51
19671101,305,1967,11,01,-69,-9
19671102,306,1967,11,02,-36,-44
19671103,307,1967,11,03,-31,-67
19671104,308,1967,11,04,-83,-262
19671105,309,1967,11,05,-180,-213
19671106,310,1967,11,06,-143,-133
19671107,311,1967,11,07,-39,-43
19671108,312,1967,11,08,-5,-180
19671109,313,1967,11,09,-52,-112
19671110,314,1967,11,10,-6,-47
19671111,315,1967,11,11,-28,-127
19671112,316,1967,11,12,-181,-209
19671113,317,1967,11,13,-307,-219
19671114,318,1967,11,14,-120,-58
19671115,319,1967,11,15,-11,-27
19671116,320,1967,11,16,-12,-5
19671117,321,1967,11,17,-74,-45
19671118,322,1967,11,18,33,16
19671119,323,1967,11,19,3,1
19671120,324,1967,11,20,15,16
19671121,325,1967,11,21,69,-5
19671122,326,1967,11,22,58,85
19671123,327,1967,11,23,86,15
19671124,328,1967,11,24,247,221
19671125,329,1967,11,25,36,23
19671126,330,1967,11,26,-120,-198
19671127,331,1967,11,27,2,-128
19671128,332,1967,11,28,51,-85
19671129,333,1967,11,29,19,-37
19671130,334,1967,11,30,36,-36
19671201,335,1967,12,01,-351,-560
19671202,336,1967,12,02,-182,-202
19671203,337,1967,12,03,1,-95
19671204,338,1967,12,04,17,-111
19671205,339,1967,12,05,-109,31
19671206,340,1967,12,06,-532,-801
19671207,341,1967,12,07,-37,-64
19671208,342,1967,12,08,-126,-374
19671209,343,1967,12,09,-29,-208
19671210,344,1967,12,10,97,91
19671211,345,1967,12,11,94,107
19671212,346,1967,12,12,2,-16
19671213,347,1967,12,13,-69,-69
19671214,348,1967,12,14,-131,-76
19671215,349,1967,12,15,98,-44
19671216,350,1967,12,16,155,130
19671217,351,1967,12,17,97,11
19671218,352,1967,12,18,78,11
19671219,353,1967,12,19,15,-17
19671220,354,1967,12,20,-127,-84
19671221,355,1967,12,21,-348,-689
19671222,356,1967,12,22,-216,-382
19671223,357,1967,12,23,-53,-123
19671224,358,1967,12,24,-222,-57
19671225,359,1967,12,25,-26,16
19671226,360,1967,12,26,31,17
19671227,361,1967,12,27,18,50
19671228,362,1967,12,28,12,4
19671229,363,1967,12,29,36,13
19671230,364,1967,12,30,34,4
19671231,365,1967,12,31,109,78
19680101,366,1968,01,01,74,92
19680102,367,1968,01,02,1,-4
19680103,368,1968,01,03,27,-11
19680104,369,1968,01,04,112,47
19680105,370,1968,01,05,14,16
19680106,371,1968,01,06,-23,-54
19680107,372,1968,01,07,121,-66
19680108,373,1968,01,08,1,-65
19680109,374,1968,01,09,106,-61
19680110,375,1968,01,10,37,16
19680111,376,1968,01,11,-129,-213
19680112,377,1968,01,12,-218,-808
19680113,378,1968,01,13,-134,-833
19680114,379,1968,01,14,-181,-376
